LAST_UPDATE_DT,NAME,STATE_CODE,INDUSTRY_SECTOR,INDUSTRY_GROUP,INDUSTRY_SUBGROUP,PX_LAST,CHG_NET_1YR,EQY_DVD_YLD_IND,EQY_BETA,PE_RATIO,CUR_MKT_CAP,BOARD_SIZE,PCT_WOMEN_ON_BOARD,NUMBER_OF_WOMEN_ON_BOARD,BOARD_AVERAGE_TENURE,BOARD_AVERAGE_AGE,PERCENTAGE_OF_FEMALE_EXECUTIVES,FEMALE_CHAIRPERSON_OR_EQUIVALENT,FEMALE_CEO_OR_EQUIVALENT,AVERAGE_BOD_TOTAL_COMPENSATION,NUM_OF_EMPLOYEES,BEST_NDEBT_CHG_PCT,BEST_CAPEX,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_TOT_EQY,PROF_MARGIN,NEWS_SENTIMENT,PX_TO_CASH_FLOW,EFF_INT_RATE,PX_TO_BOOK_RATIO,SALES_GROWTH,EBITDA_TO_REVENUE,RD_EXPEND_TO_NET_SALES
2019-11-29,INVESTAR HOLDING CORP,LA,Financial,Banks,Commer Banks-Southern US,25.02,-0.11,0.9592325924683531,0.7495909333229065,13.693622153326789,248534969.04000002,13,7.692309856414795,1,NA,61.76919937133789,14.285699844360352,FALSE,FALSE,NA,255,NA,NA,13.01724239267516,127.59050158562948,22.05615354688108,0,13.584474922229044,NA,1.180502913875657,36.82230891691888,NA,NA
2019-11-29,GARTNER INC,CT,"Consumer, Non-cyclical",Commercial Services,Consulting Services,160.46,7.27,NA,1.184842586517334,67.14403399542854,14353622924.36,10,30,3,11.95829963684082,67.19999694824219,8.333330154418945,FALSE,FALSE,297349.4,15173,0,-150,36.79265606854113,268.1949134711792,3.080302274909985,0,27.366350765667722,4.559779531886518,15.611946789208618,20.05016466887755,12.962444037838194,0
2019-11-29,INTRA-CELLULAR THERAPIES INC,NY,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,9.71,-4.74,NA,1.379340648651123,NA,536584572.17,6,16.66670036315918,1,11.3056001663208,66.66670227050781,20,TRUE,TRUE,348572.6,73,1.593625498007968,-2.52,0,0,NA,0,NA,NA,2.3644804315964607,NA,NA,NA
2019-11-29,INTEGER HOLDINGS CORP,TX,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,75.85,-12.73,NA,1.1931982040405273,21.71307381103273,2478672189.2499995,10,20,2,8.274999618530273,63,11.111100196838379,FALSE,FALSE,226354.44444444444,8250,NA,-49.7,39.777992771677766,87.27139170178398,13.824060996928425,0,15.57679058575242,7.836122385855053,2.195608374522303,6.947750158439549,20.126797101592413,4.000289709072832
2019-11-29,ITERIS INC,CA,Industrial,Engineering&Construction,Engineering/R&D Services,5.17,0.6,NA,1.3143223524093628,NA,209775500.44,7,14.285699844360352,1,7.738100051879883,62.5713996887207,0,FALSE,FALSE,89410,362,NA,-1.4000000000000001,0,0,-7.88515278996802,0,NA,NA,3.3172872543938263,-4.440416855459895,-6.032908608496514,7.8881793327482015
2019-11-29,INVESTORS TITLE CO,NC,Financial,Insurance,Property/Casualty Ins,160.25,-16.9053,0.9984399524754184,0.5910812020301819,14.987395623661772,302659687.99999994,9,0,0,26.546300888061523,73.66670227050781,0,FALSE,FALSE,72313.33333333333,328,NA,NA,0,0,14.010073019794062,0,15.906510089482992,NA,1.5453175251416613,-3.3212272701962067,NA,NA
2019-11-29,ITRON INC,WA,Industrial,Electronics,Electronic Measur Instr,80.08,25.92,NA,1.0237617492675781,36.5590826953168,3168635550.08,9,22.222200393676758,2,6.981480121612549,60.555599212646484,40,FALSE,FALSE,160146.8,8000,-1.472556894243641,-59.967,38.966271135638344,138.49543899036573,-4.1769828674261404,0,18.540243699178575,7.141985038189859,4.293842322870794,17.73464136553569,3.0640326212892717,8.749779577352461
2019-11-29,ITT INC,NY,Industrial,Miscellaneous Manufactur,Diversified Manufact Op,69.78,14.33,0.8433734932919719,1.2382631301879883,18.871935008737363,6119706000,13,30.76919937133789,4,4.467949867248535,63.53850173950195,25,FALSE,TRUE,202253.66666666666,10000,-8.823529411764707,-92.943,3.249454091712592,6.849690393994192,12.156205602710283,0,15.673862668968074,NA,3.060035989720868,6.181100839360991,18.458343958325745,3.5845688681650945
2019-11-29,ILLINOIS TOOL WORKS,IL,Industrial,Miscellaneous Manufactur,Diversified Manufact Op,174.33,35.28,2.4535658162166647,1.060120940208435,23.187305735796222,56030724715.68,11,18.181800842285156,2,9.888890266418457,61.36360168457031,15.384599685668945,FALSE,FALSE,290388,48000,0,-304.556,49.630127774041696,226.5193370165746,17.355092091007585,0,18.748103223730165,3.272217978100331,18.890648209204645,3.171719994411066,27.390303358613217,1.577735644637053
2019-11-29,INVACARE CORP,OH,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,8.73,3.23,0.5733945039570878,1.2709102630615234,NA,293835265.38,8,25,2,5,55.875,40,FALSE,FALSE,154537.55555555556,4200,NA,-10.200000000000001,28.858560373876085,71.18115980364587,-4.517111689551158,0,NA,11.355066220521348,0.915009128542903,0.6052786506321306,-0.281586717499,1.7871192074434332
2019-11-29,INVESCO MORTGAGE CAPITAL,GA,Financial,REITS,REITS-Mortgage,16.24,0.62,11.083743548745593,0.7206472754478455,5.9317764505981145,2319109238.3199997,7,14.285699844360352,1,4.702380180358887,65.42859649658203,0,FALSE,FALSE,162717,NA,NA,NA,85.62314940265826,667.0094026449502,-22.63483699336207,0,6.655837747682655,NA,0.9959533326727522,-48.09463350676724,98.33412204074847,NA
2019-11-29,INVESCO LTD,GA,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,17.56,-2.79,7.061503471165964,1.1967647075653076,7.947247412818958,7970376444.999999,9,22.222200393676758,2,9.601849555969238,66.777801513671875,0,FALSE,FALSE,316750.7189709819,7459,-38.61185983827493,-109,24.645559486610026,81.80960953238181,16.61240849814644,0,9.486830445740297,NA,0.5872221985098168,2.980446873243807,25.90466871154099,NA
2019-11-29,JACK IN THE BOX INC,CA,"Consumer, Cyclical",Retail,Retail-Restaurants,79.29,-9.4,2.017908971928185,0.6272923946380615,20.78537765227926,1875366366.39,NA,NA,NA,7.73484992980957,NA,20,FALSE,FALSE,198500.125,5200,-1.180637544273908,-31.7,133.03814465149617,NA,9.939617327311554,0,12.142096860543743,7.337361076343031,NA,9.246628108866368,27.300819802401204,0
2019-11-29,JAGGED PEAK ENERGY INC,CO,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,6.67,-4.77,NA,1.1490811109542847,16.106364975282514,1423515808.87,8,0,0,NA,56.375,0,FALSE,FALSE,NA,94,-0.04252604720391746,-640.8000000000001,27.685340332208913,51.61021150904583,30.220087304341476,0,3.7185360353833947,7.808282330004858,1.5209427551705186,106.8463962160079,58.39162755018174,0
