LAST_UPDATE_DT,NAME,INDUSTRY_SECTOR,INDUSTRY_GROUP,INDUSTRY_SUBGROUP,PX_LAST,CHG_NET_YTD,EQY_DVD_YLD_IND,EQY_BETA,PE_RATIO,CUR_MKT_CAP,BOARD_SIZE,PCT_WOMEN_ON_BOARD,NUMBER_OF_WOMEN_ON_BOARD,BOARD_AVERAGE_TENURE,BOARD_AVERAGE_AGE,NUMBER_OF_DIRECTORS_ON_BOARD,PERCENTAGE_OF_FEMALE_EXECUTIVES,FEMALE_CHAIRPERSON_OR_EQUIVALENT,FEMALE_CEO_OR_EQUIVALENT,AVERAGE_BOD_TOTAL_COMPENSATION
2019-11-18,MID PENN BANCORP INC,Financial,Banks,Commer Banks-Eastern US,27.02,4.098548,2.664692926018614,0.5711905360221863,12.915203449230951,229088016.22,17,0,0,7.796299934387207,61.88240051269531,18,0,FALSE,FALSE,49549.86666666667
2019-11-18,MARINE PRODUCTS CORP,"Consumer, Cyclical",Leisure Time,Recreational Vehicles,15.02,-1.771327,3.2128513338096654,0.9477797746658325,17.465116811353106,510086710.00000006,9,11.111100196838379,1,9.822919845581055,76.88890075683594,8,0,FALSE,FALSE,80071.42857142857
2019-11-18,MONTAGE RESOURCES CORP,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,5.23,-10.52,NA,1.5551389455795288,2.1784641799543807,187285557.34,9,0,0,5,57,10,0,FALSE,FALSE,100100.14285714286
2019-11-18,MRC GLOBAL INC,Energy,Oil&Gas Services,Oil-Field Services,13.92,1.69,NA,1.4178107976913452,21.39129484379736,1144054635.3600001,12,16.66670036315918,2,8.340909957885742,64.41670227050781,11,0,FALSE,FALSE,222159.72727272726
2019-11-18,MERCURY SYSTEMS INC,Industrial,Aerospace/Defense,Electronics-Military,74.06,26.77,NA,0.9983632564544678,65.8185302885171,4113066146.7,8,25,2,7.3125,64.75,8,0,FALSE,FALSE,212618.25
2019-11-18,MARKER THERAPEUTICS INC,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,2.68,-2.87,NA,1.6334989070892334,NA,122538749.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-18,MARLIN BUSINESS SERVICES INC,Financial,Diversified Finan Serv,Finance-Commercial,20.13,-2.2,2.78191754785984,0.43545490503311157,10.348321089327454,244671192.15,7,0,0,12.25,57.714298248291016,7,0,FALSE,FALSE,135562.33333333334
2019-11-18,MARINUS PHARMACEUTICALS INC,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,1.09,-1.78,NA,1.7630976438522339,NA,58717533.730000004,6,16.66670036315918,1,NA,59.16669845581055,NA,33.33330154418945,FALSE,FALSE,NA
2019-11-18,MERSANA THERAPEUTICS INC,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,2.71,-1.37,NA,1.196638822555542,NA,129764344.62,7,57.14289855957031,4,NA,53.4286003112793,NA,40,FALSE,TRUE,NA
2019-11-18,MARTEN TRANSPORT LTD,Industrial,Transportation,Transport-Truck,21.38,5.72257,0.5612722044798456,0.9368594288825989,21.1955764500745,1169242952.1599998,7,0,0,22.027799606323242,71.28569793701172,6,0,FALSE,FALSE,85887
2019-11-18,MIRATI THERAPEUTICS INC,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,92.63,50.21,NA,1.6982818841934204,NA,3652993917.2599998,8,12.5,1,4.305560111999512,59,9,0,FALSE,FALSE,392287.375
2019-11-18,MSA SAFETY INC,Industrial,Hand/Machine Tools,Tools-Hand Held,123.79,29.52,1.3571370446303517,0.9799206256866455,32.13711999991883,4795363526.889999,10,30,3,9.399999618530273,60.29999923706055,10,0,FALSE,FALSE,204019
2019-11-18,MIDLAND STATES BANCORP INC,Financial,Banks,Commer Banks-Central US,28.03,5.69,3.4605780542641082,0.9846541881561279,10.676631275956634,680291856.02,10,20,2,9.277779579162598,58.400001525878906,12,14.285699844360352,FALSE,FALSE,55508
2019-11-18,MIDDLESEX WATER CO,Utilities,Water,Water,60.56,7.210002,1.6925362882399968,0.6916959881782532,30.741117448371075,1009507342.4000001,7,28.571399688720703,2,11.8125,61.14289855957031,8,33.33330154418945,FALSE,FALSE,42792.857142857145
2019-11-18,MSG NETWORKS INC- A,Communications,Media,Broadcast Serv/Program,18.49,-5.069999,NA,0.9250865578651428,7.672199075152766,1112151422.94,12,8.333330154418945,1,3.861109972000122,62.16669845581055,12,40,FALSE,TRUE,174100
2019-11-18,MISONIX INC,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,19.03,3.02,NA,0.5399317741394043,NA,292023628.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-18,MICROSTRATEGY INC-CL A,Technology,Software,Enterprise Software/Serv,155.23,27.48,NA,0.9154663681983948,63.16651117938593,1593758673.1699998,5,0,0,13.949999809265137,56.599998474121094,5,14.285699844360352,FALSE,FALSE,523481.6
2019-11-18,MATADOR RESOURCES CO,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,14.29,-1.24,NA,1.3366079330444336,6.2358068679636744,1666801447.61,10,10,1,3.9318199157714844,61.599998474121094,11,0,FALSE,FALSE,204288.36363636365
2019-11-18,MOLECULAR TEMPLATES INC,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,7.225,3.185,NA,1.3950029611587524,NA,267097484.74999997,7,0,0,6.130949974060059,53.14289855957031,7,0,FALSE,FALSE,111407.5
2019-11-18,MERITAGE HOMES CORP,"Consumer, Cyclical",Home Builders,Bldg-Residential/Commer,71.84,35.12,NA,0.7716354727745056,12.399576429116951,2751408134.2400002,9,11.111100196838379,1,10.906200408935547,60.88890075683594,8,20,FALSE,FALSE,301250
2019-11-18,MERITOR INC,"Consumer, Cyclical",Auto Parts&Equipment,Auto/Trk Prts&Equip-Orig,24.67,7.76,NA,0.9909175634384155,6.411362607200982,1927302970.49,NA,NA,NA,7.564819812774658,NA,9,NA,NA,NA,253875.5
2019-11-18,MATERION CORP,Basic Materials,Chemicals,Chemicals-Specialty,58.42,13.43,0.7531667196436395,1.0608313083648682,29.6647297264494,1191941857.92,9,11.111100196838379,1,7.888889789581299,62.11109924316406,9,0,NA,FALSE,166918
2019-11-18,MATRIX SERVICE CO,Energy,Oil&Gas Services,Oil-Field Services,19.97,2.029999,NA,1.2481917142868042,16.86759345242949,542431670.1899999,7,28.571399688720703,2,4.369050025939941,61.714298248291016,7,10,FALSE,FALSE,194515.5
2019-11-18,MTS SYSTEMS CORP,Technology,Computers,Computers-Integrated Sys,60.33,20.2,1.9880716495754074,1.0256521701812744,23.8597702972385,1166447489.1599998,8,25,2,6.027780055999756,62.75,9,0,FALSE,FALSE,205296.14285714287
2019-11-18,MACOM TECHNOLOGY SOLUTIONS H,Technology,Semiconductors,Electronic Compo-Semicon,25.69,11.18,NA,1.695947289466858,NA,1696867993.17,8,12.5,1,6.226190090179443,60.75,7,0,FALSE,FALSE,169997.5
2019-11-18,MANITOWOC COMPANY INC,Industrial,Machinery-Diversified,Machinery-General Indust,15.28,0.5099995,NA,1.609391689300537,9.439224632528871,540133422.88,8,12.5,1,6.010419845581055,60.875,8,0,FALSE,FALSE,175593.66666666666
2019-11-18,MINERALS TECHNOLOGIES INC,Basic Materials,Chemicals,Chemicals-Specialty,53.73,2.39,0.37223153355710453,1.1480995416641235,12.121143656248677,1872758827.6199996,9,11.111100196838379,1,6.066669940948486,61.444400787353516,10,0,FALSE,FALSE,185182.77777777778
2019-11-18,MASTEC INC,Industrial,Engineering&Construction,Building-Heavy Construct,72.41,31.85,NA,1.1178734302520752,15.020737508032468,5527214457.18,8,12.5,1,15.33329963684082,64,8,0,FALSE,FALSE,827478
2019-11-18,MURPHY USA INC,Energy,Oil&Gas,Oil Refining&Marketing,120.84,44.2,NA,0.9427161812782288,19.798401077196008,3716996226.8400006,10,10,1,5.481480121612549,64.0999984741211,9,20,FALSE,FALSE,185747.22222222222
2019-11-18,MVB FINANCIAL CORP,Financial,Banks,Commer Banks-Southern US,21.2,3.159999,0.9433962404727936,0.4549974501132965,10.600000381469727,250678318.79999998,9,0,0,7.358329772949219,56.33330154418945,10,0,FALSE,FALSE,83137.125
2019-11-18,MUELLER WATER PRODUCTS INC-A,Industrial,Machinery-Diversified,Machinery-Pumps,10.97,1.87,1.914311699576017,1.1165498495101929,19.090313131644514,1727359675.8000002,8,25,2,8.816670417785645,71.625,10,22.222200393676758,FALSE,FALSE,203415.42857142858
2019-11-18,MAXLINEAR INC,Technology,Semiconductors,Semicon Compo-Intg Circu,19.84,2.24,NA,1.2393615245819092,NA,1419868448,8,12.5,1,7.666669845581055,57.375,7,10,FALSE,FALSE,245838.57142857142
2019-11-18,MYERS INDUSTRIES INC,Industrial,Miscellaneous Manufactur,Rubber/Plastic Products,15.9,0.7900003,3.3962265500482522,1.0826976299285889,23.675510912371237,564768015.9,9,33.33330154418945,3,5.941669940948486,63.88890075683594,10,0,FALSE,FALSE,182306.2
2019-11-18,MYRIAD GENETICS INC,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,24.75,-4.32,NA,0.8562974333763123,122.56054986357401,1841128344.0000002,7,14.285699844360352,1,11.69789981842041,69,8,10,FALSE,FALSE,301241
