LAST_UPDATE_DT,NAME,INDUSTRY_SECTOR,INDUSTRY_GROUP,INDUSTRY_SUBGROUP,PX_LAST,CHG_NET_YTD,EQY_DVD_YLD_IND,EQY_BETA,PE_RATIO,CUR_MKT_CAP,BOARD_SIZE,PCT_WOMEN_ON_BOARD,NUMBER_OF_WOMEN_ON_BOARD,BOARD_AVERAGE_TENURE,BOARD_AVERAGE_AGE,NUMBER_OF_DIRECTORS_ON_BOARD,PERCENTAGE_OF_FEMALE_EXECUTIVES,FEMALE_CHAIRPERSON_OR_EQUIVALENT,FEMALE_CEO_OR_EQUIVALENT,AVERAGE_BOD_TOTAL_COMPENSATION
2019-11-18,GOLDMAN SACHS GROUP INC,Financial,Banks,Diversified Banking Inst,219.73,52.68,2.275519956310017,1.2159233093261719,9.761824699675572,81011915755.26,14,28.571399688720703,4,5.098480224609375,64.71430206298828,11,28.571399688720703,FALSE,FALSE,549797.6363636364
2019-11-18,WW GRAINGER INC,"Consumer, Cyclical",Distribution/Wholesale,Distribution/Wholesale,317.49,35.13001,1.8145733638540262,1.0828064680099487,18.269749544874678,17101996982.460001,11,18.181800842285156,2,12.71969985961914,60.454498291015625,11,42.85710144042969,FALSE,FALSE,324068
2019-11-18,HALLIBURTON CO,Energy,Oil&Gas Services,Oil-Field Services,20.16,-6.42,3.571428713344392,1.3059724569320679,15.658957721910664,17696536643.52,11,9.090909957885742,1,7.099999904632568,66,10,18.181800842285156,FALSE,FALSE,393328
2019-11-18,HASBRO INC,"Consumer, Cyclical",Toys/Games/Hobbies,Toys,95.36,14.11,2.8523490232909285,0.8389945030212402,22.90030887808457,13048425395.199999,13,38.46149826049805,5,10.109000205993652,59.076900482177734,13,12.5,FALSE,FALSE,353919.54545454547
2019-11-18,HUNTINGTON BANCSHARES INC,Financial,Banks,Super-Regional Banks-US,14.73,2.81,4.073319917459999,1.109518051147461,11.507812142372131,15212484199.11,12,33.33330154418945,4,7.461540222167969,63.83330154418945,13,33.33330154418945,FALSE,FALSE,193920.85714285713
2019-11-18,HANESBRANDS INC,"Consumer, Cyclical",Apparel,Apparel Manufacturers,15.44,2.91,3.886010517110479,1.0924534797668457,8.940317346754215,5584603640.88,11,27.2726993560791,3,8.350000381469727,64.18180084228516,10,12.5,FALSE,FALSE,273255.4
2019-11-18,HCA HEALTHCARE INC,"Consumer, Non-cyclical",Healthcare-Services,Medical-Hospitals,136.78,12.33,1.170103864152302,1.0883103609085083,14.053106810218727,46392807874,11,18.181800842285156,2,5.969699859619141,63.181800842285156,11,23.809499740600586,FALSE,FALSE,289810.36363636365
2019-11-18,HOME DEPOT INC,"Consumer, Cyclical",Retail,Retail-Building Products,238.85,67.02999,2.277103414491611,0.9980565905570984,23.38441511291247,261577311486.05,14,21.428600311279297,3,6.923610210418701,58.9286003112793,12,33.33330154418945,FALSE,FALSE,278392.85714285716
2019-11-18,HESS CORP,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,66.79,26.29,1.4976785981728322,1.346114158630371,NA,20351329435.65,12,16.66670036315918,2,10.840299606323242,65.5,12,12.5,FALSE,FALSE,332479.1818181818
2019-11-18,HOLLYFRONTIER CORP,Energy,Oil&Gas,Oil Refining&Marketing,53.91,2.790001,2.5969207496904883,1.0789586305618286,8.340558390006446,8700519859.11,10,20,2,6.446969985961914,64.30000305175781,11,20,FALSE,FALSE,301600.6
2019-11-18,HARTFORD FINANCIAL SVCS GRP,Financial,Insurance,Multi-line Insurance,62.03,17.58,1.9348597995545238,0.8086081147193909,13.759505833271271,22356929020.96,12,33.33330154418945,4,7.474999904632568,62.16669845581055,10,33.33330154418945,FALSE,FALSE,290906.36363636365
2019-11-18,HUNTINGTON INGALLS INDUSTRIE,Industrial,Shipbuilding,Shipbuilding,258.06,67.75,1.5965897638283595,1.1756086349487305,22.480286415768376,10554746127.42,11,27.2726993560791,3,5.545450210571289,62.454498291015625,11,25,FALSE,FALSE,NA
